"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00368361","2000-08","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","152.3","0","40.6","1,0","14",",0","9",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","28",",0","0",",0","12","","9","","4.4","1,0,22,+","0",",,0,31,+","0",",,0,31,+","106.2",",,0,03,","28.3",",0,16,+","77.8","0","","","","","42.0",",0","","","","","","","","","","","","","","","","","","","","","209.6",",,,0","0",",,,0","18.29","1,0","24.44",",,,0","12.15","1,,,0","","","",""
"USC00368361","2000-09","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","187.9","0","35.6",",0","14",",0","7",",0","1",",0","0",",0","0",",0","0",",0","2",",0","0",",0","18",",0","0",",0","8","","4","","-1.1",",0,29,","0",",,0,30,+","0",",,0,30,+","49.3",",,0,21,","30.0",",0,02,+","189.1","0","","","","","111.3",",0","","","","","","","","","","","","","","","","","","","","","103.6",",,,0","0",",,,0","15.81",",0","21.95",",,,0","9.67",",,,0","","","",""
"USC00368361","2000-10","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","187.9","0","0.0",",0","14",",0","11",",0","0",",0","1","1,0","2",",0","0",",0","6",",0","0",",0","10",",0","0",",0","7","","2","","-4.4",",0,30,+","25","1,,0,08,","25",",,0,31,+","21.8",",,0,06,","24.4",",0,03,","421.8","0","","","","","232.7",",0","","","","","","","","","","","","","","","","","","","","","120.1",",,,0","50",",,,0","10.83",",0","16.79",",,,0","4.86",",,,0","","","",""
"USC00368361","2000-11","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","187.9","0","0.0",",0","19",",0","13",",0","0",",0","10","1,0","5",",0","0",",0","21",",0","4",",0","0",",0","0",",0","5","","","","-8.9",",0,23,+","229","1,,0,23,+","229",",,0,23,","9.7",",,0,11,","18.9",",0,09,+","879.5","0","","","","","457.7",",0","","","","","","","","","","","","","","","","","","","","","80.4",",,,0","780",",,,0","3.08",",0","7.10",",,,0","-0.95",",,,0","","","",""
"USC00368361","2000-12","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","187.9","0","0.0",",0","25",",0","9",",0","0",",0","30","1,0","16",",0","0",",0","30",",0","20",",0","0",",0","0",",0","1","","1","","-17.2",",0,23,","330","1,,0,28,","203",",,0,28,","21.6",",,0,17,","8.3",",0,12,","1629.8","0","","","","","750.3",",0","","","","","","","","","","","","","","","","","","","","","91.8",",,,0","1352",",,,0","-5.87",",0","-2.13",",,,0","-9.61",",,,0","","","",""
"USC00368361","2001-01","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","19",",0","5",",0","0",",0","31",",0","9",",0","1",",0","30",",0","19",",0","0",",0","0",",0","4","","","","-17.8",",0,03,","305",",,0,07,+","160",",,0,06,","8.9",",,0,06,","7.2",",0,31,","2333.6","0","","","","","703.8",",0","","","","","","","","","","","","","","","","","","","","","49.2",",,,0","798",",,,0","-4.37",",0","-0.64",",,,0","-8.10",",,,0","","","",""
"USC00368361","2001-02","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","14",",0","6",",0","0",",0","14",",0","7",",0","0",",0","28",",0","12",",0","0",",0","0",",0","4","","","","-15.0",",0,24,","178",",,0,03,","211",",,0,03,","11.2",",,0,15,","17.8",",0,26,","2892.7","0","","","","","559.1",",0","","","","","","","","","","","","","","","","","","","","","47.0",",,,0","421",",,,0","-1.64",",0","2.63",",,,0","-5.90",",,,0","","","",""
"USC00368361","2001-03","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","17",",0","10",",0","0",",0","19",",0","12",",0","0",",0","28",",0","9",",0","0",",0","0",",0","11","","1","","-12.8",",0,12,","254",",,0,26,","254",",,0,26,","12.2",",,0,17,","13.3",",0,21,","3486.6","0","","","","","593.9",",0","","","","","","","","","","","","","","","","","","","","","63.3",",,,0","821",",,,0","-0.83",",0","3.17",",,,0","-4.83",",,,0","","","",""
"USC00368361","2001-04","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","1.4","0","1.4",",0","17",",0","6",",0","0",",0","1","1,0","1",",0","0",",0","17",",0","0",",0","6",",0","0",",0","8","","4","","-5.0",",0,19,+","51","1,,0,17,","38",",,0,17,","13.7",",,0,16,","28.3",",0,13,","3786.2","0","","","","","299.6",",0","","","","","","","","","","","","","","","","","","","","","60.7",",,,0","38",",,,0","8.39",",0","15.20",",,,0","1.58",",,,0","","","",""
"USC00368361","2001-05","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","4.2","0","2.8",",0","15",",0","9",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","15",",0","0",",0","8","","4","","-1.1",",0,13,","0",",,0,31,+","0",",,0,31,+","24.4",",,0,12,","28.3",",0,02,","3919.3","0","","","","","133.1",",0","","","","","","","","","","","","","","","","","","","","","105.6",",,,0","0",",,,0","14.13",",0","20.68",",,,0","7.58",",,,0","","","",""
"USC00368361","2001-06","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","57.1","0","52.9","1,0","12",",0","6",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","21",",0","0",",0","14","","3","","1.7","1,0,01,","0",",,0,30,+","0",",,0,30,+","17.3",",,0,11,","31.7",",0,15,","3978.7","0","","","","","59.4",",0","","","","","","","","","","","","","","","","","","","","","62.9",",,,0","0",",,,0","18.08","1,0","23.97",",,,0","12.18","1,,,0","","","",""
"USC00368361","2001-07","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","134.0","0","76.9",",0","13",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","5","","5","","5.6",",0,27,+","0",",,0,31,+","0",",,0,31,+","23.9",",,0,20,","32.8",",0,25,","34.7","0","","","","","34.7",",0","","","","","","","","","","","","","","","","","","","","","57.6",",,,0","0",",,,0","19.69",",0","26.54",",,,0","12.85",",,,0","","","",""
"USC00368361","2001-08","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","202.8","0","68.8","3,0","18",",0","12",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0",",0","31",",0","3",",0","10","","6","","8.3","3,0,30,","0",",,0,31,+","0",",,0,31,+","15.5",",,0,27,","33.3",",0,10,+","41.6","0","","","","","6.9",",0","","","","","","","","","","","","","","","","","","","","","104.7",",,,0","0",",,,0","20.69","3,0","27.30",",,,0","14.08","3,,,0","","","",""
"USC00368361","2001-09","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","219.3","0","16.5",",0","15",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","16","","2","","1.7",",0,30,","0",",,0,30,+","0",",,0,30,+","33.0",",,0,28,","30.6",",0,10,","167.2","0","","","","","125.6",",0","","","","","","","","","","","","","","","","","","","","","111.2",",,,0","0",",,,0","14.70",",0","21.28",",,,0","8.11",",,,0","","","",""
"USC00368361","2001-10","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","222.7","0","3.4",",0","21",",0","14",",0","2",",0","1",",0","1",",0","0",",0","6",",0","0",",0","7",",0","0",",0","4","","4","","-2.2",",0,09,+","51",",,0,27,","51",",,0,27,","29.0",",,0,27,","25.6",",0,04,","406.2","0","","","","","239.0",",0","","","","","","","","","","","","","","","","","","","","","162.3",",,,0","51",",,,0","10.73",",0","15.83",",,,0","5.63",",,,0","","","",""
"USC00368361","2001-11","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","222.7","0","0.0",",0","14",",0","7",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","0",",0","0",",0","7","","","","-4.4",",0,12,","0",",T,0,20,","0",",T,0,20,","14.5",",,0,29,","20.6",",0,02,","717.2","0","","","","","311.0",",0","","","","","","","","","","","","","","","","","","","","","66.9",",,,0","0",",T,,0","7.97",",0","13.32",",,,0","2.61",",,,0","","","",""
"USC00368361","2001-12","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","222.7","0","0.0","1,0","21",",0","9",",0","0",",0","4",",0","4",",0","0","1,0","21","1,0","7",",0","1",",0","0",",0","4","","1","","-11.1","1,0,31,+","279",",,0,30,","267",",,0,30,","22.4",",,0,18,","21.1",",0,06,","1211.3","0","","","","","494.1",",0","","","","","","","","","","","","","","","","","","","","","100.4",",,,0","491",",,,0","1.94","1,0","6.00",",,,0","-2.12","1,,,0","","","",""
"USC00368361","2002-01","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","18",",0","6",",0","0",",0","23",",0","9",",0","0",",0","25",",0","11",",0","0",",0","0",",0","6","","","","-16.1",",0,20,","229",",,0,08,+","173",",,0,07,","15.2",",,0,30,","13.9",",0,30,+","1798.2","0","","","","","586.9",",0","","","","","","","","","","","","","","","","","","","","","58.0",",,,0","642",",,,0","-0.60",",0","3.10",",,,0","-4.30",",,,0","","","",""
"USC00368361","2002-02","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","16",",0","9",",0","1",",0","17",",0","6",",0","0",",0","25",",0","7",",0","0",",0","0",",0","4","","","","-14.4",",0,18,","178",",,0,28,","203",",,0,28,","25.9",",,0,01,","15.6",",0,26,","2325.6","0","","","","","527.4",",0","","","","","","","","","","","","","","","","","","","","","68.4",",,,0","524",",,,0","-0.50",",0","4.69",",,,0","-5.69",",,,0","","","",""
"USC00368361","2002-03","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","17",",0","11",",0","0",",0","13",",0","7",",0","0",",0","26",",0","5",",0","0",",0","0",",0","5","","2","","-12.8",",0,05,","152",",,0,04,","178",",,0,04,","14.0",",,0,30,","20.6",",0,16,+","2845.2","0","","","","","519.6",",0","","","","","","","","","","","","","","","","","","","","","91.3",",,,0","603",",,,0","1.57",",0","6.98",",,,0","-3.84",",,,0","","","",""
"USC00368361","2002-04","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","9.5","0","9.5",",0","22",",0","12",",0","1",",0","2",",0","0",",0","0",",0","15",",0","0",",0","8",",0","0",",0","11","","5","","-5.6",",0,07,","25",",,0,06,+","13",",,0,06,+","28.7",",,0,15,","30.0",",0,17,","3151.8","0","","","","","306.6",",0","","","","","","","","","","","","","","","","","","","","","131.2",",,,0","34",",,,0","8.43",",0","14.32",",,,0","2.54",",,,0","","","",""
"USC00368361","2002-05","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","16.1","0","6.6",",0","18",",0","10",",0","2",",0","0",",0","0",",0","0",",0","10",",0","0",",0","10",",0","0",",0","9","","5","","-3.3",",0,20,","0",",,0,31,+","0",",,0,31,+","53.6",",,0,13,","27.2",",0,30,","3399.6","0","","","","","247.8",",0","","","","","","","","","","","","","","","","","","","","","161.7",",,,0","0",",,,0","10.55",",0","17.36",",,,0","3.74",",,,0","","","",""
"USC00368361","2002-06","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","81.3","0","65.2","1,0","16",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","24",",0","0",",0","15","","7","","5.6","1,0,07,+","0",",,0,30,+","0",",,0,30,+","14.0",",,0,06,","31.7",",0,26,","3444.9","0","","","","","45.3",",0","","","","","","","","","","","","","","","","","","","","","68.8",",,,0","0",",,,0","19.08","1,0","25.46",",,,0","12.70","1,,,0","","","",""
"USC00368361","2002-07","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","191.9","0","110.6","1,0","8",",0","5",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","4",",0","8","","7","","7.8","1,0,13,","0",",,0,31,+","0",",,0,31,+","41.9",",,0,29,","33.9",",0,23,","12.3","0","","","","","12.3",",0","","","","","","","","","","","","","","","","","","","","","93.0",",,,0","0",",,,0","21.51","1,0","28.60",",,,0","14.43","1,,,0","","","",""
"USC00368361","2002-08","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","283.2","0","91.3",",0","10",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","14","","4","","6.7",",0,09,","0",",,0,31,+","0",",,0,31,+","12.2",",,0,15,","32.8",",0,15,+","31.4","0","","","","","19.1",",0","","","","","","","","","","","","","","","","","","","","","31.3",",,,0","0",",,,0","20.66",",0","27.48",",,,0","13.84",",,,0","","","",""
"USC00368361","2002-09","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","326.2","0","43.0",",0","9",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","3",",0","13","","4","","3.9",",0,26,+","0",",,0,30,+","0",",,0,30,+","48.5",",,0,15,","33.3",",0,10,","85.7","0","","","","","54.3",",0","","","","","","","","","","","","","","","","","","","","","130.8",",,,0","0",",,,0","17.96",",0","25.55",",,,0","10.36",",,,0","","","",""
"USC00368361","2002-10","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","336.3","0","10.1",",0","15",",0","7",",0","0",",0","0",",0","0",",0","0",",0","11",",0","0",",0","4",",0","0",",0","7","","","","-3.9",",0,31,","0",",T,0,30,","13",",,0,30,","21.6",",,0,19,","27.8",",0,05,","376.7","0","","","","","291.0",",0","","","","","","","","","","","","","","","","","","","","","79.7",",,,0","13",",,,0","9.27",",0","14.41",",,,0","4.13",",,,0","","","",""
"USC00368361","2002-11","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","336.3","0","0.0",",0","20",",0","11",",0","0",",0","7",",0","5","2,0","0",",0","18",",0","2",",0","0",",0","0",",0","6","","","","-11.1",",0,28,","102",",,0,28,","76","2,,0,27,","23.6",",,0,11,","18.3",",0,11,","830.1","0","","","","","453.4",",0","","","","","","","","","","","","","","","","","","","","","88.7",",,,0","254","2,,,0","3.22",",0","6.90",",,,0","-0.46",",,,0","","","",""
"USC00368361","2002-12","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","336.3","0","0.0",",0","21",",0","8",",0","0",",0","24",",0","12",",0","1",",0","30",",0","14",",0","0",",0","0",",0","7","","","","-18.3",",0,04,","203",",,0,26,","203",",,0,26,","11.9",",,0,14,","12.2",",0,20,","1478.4","0","","","","","648.3",",0","","","","","","","","","","","","","","","","","","","","","75.7",",,,0","822",",,,0","-2.58",",0","0.84",",,,0","-6.00",",,,0","","","",""
"USC00368361","2003-01","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","26",",0","10",",0","0",",0","29",",0","19",",0","7",",0","31",",0","27",",0","0",",0","0",",0","3","","","","-25.6",",0,27,","305",",,0,27,","229",",,0,11,","12.4",",,0,01,","9.4",",0,01,","2295.5","0","","","","","817.1",",0","","","","","","","","","","","","","","","","","","","","","72.6",",,,0","1463",",,,0","-8.03",",0","-4.06",",,,0","-11.99",",,,0","","","",""
"USC00368361","2003-02","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","22",",0","9",",0","0",",0","28",",0","13",",0","7",",0","28",",0","18",",0","0",",0","0",",0","4","","","","-22.8",",0,14,","279",",,0,18,","114",",,0,25,+","21.8",",,0,23,","8.3",",0,04,","3012.4","0","","","","","716.9",",0","","","","","","","","","","","","","","","","","","","","","62.7",",,,0","789",",,,0","-7.27",",0","-1.64",",,,0","-12.90",",,,0","","","",""
"USC00368361","2003-04","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","3.3",",0","12",",0","4",",0","1",",0","1","2,0","1",",0","0",",0","17",",0","0",",0","7",",0","0",",0","6","","","","-5.0",",0,01,","51","2,,0,01,","38",",,0,01,","36.1",",,0,05,","28.3",",0,16,","","","","","","","330.2",",0","","","","","","","","","","","","","","","","","","","","","78.9",",,,0","43",",,,0","7.44",",0","13.93",",,,0","0.94",",,,0","","","",""
"USC00368361","2003-05","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","1.4",",0","20",",0","11",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","9",",0","0",",0","11","","7","","0.0",",0,22,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,24,","25.0",",0,11,","","","","","","","195.6",",0","","","","","","","","","","","","","","","","","","","","","142.9",",,,0","0",",,,0","12.07",",0","18.02",",,,0","6.11",",,,0","","","",""
"USC00368361","2003-06","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","22.2",",0","18",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","14","","2","","1.7",",0,03,+","0",",,0,30,+","0",",,0,30,+","60.2",",,0,13,","31.1",",0,26,","","","","","","","72.9",",0","","","","","","","","","","","","","","","","","","","","","163.4",",,,0","0",",,,0","16.65",",0","22.22",",,,0","11.07",",,,0","","","",""
"USC00368361","2003-07","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","64.0",",0","16",",0","11",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","10","","10","","9.4",",0,30,+","0",",,0,31,+","0",",,0,31,+","29.5",",,0,22,","30.6",",0,05,","11.2","0","","","","","11.2",",0","","","","","","","","","","","","","","","","","","","","","142.8",",,,0","0",",,,0","20.04",",0","25.71",",,,0","14.36",",,,0","","","",""
"USC00368361","2003-08","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","77.6",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","18","","9","","7.2",",0,24,","0",",,0,31,+","0",",,0,31,+","25.7",",,0,30,","30.6",",0,22,","26.0","0","","","","","14.8",",0","","","","","","","","","","","","","","","","","","","","","74.7",",,,0","0",",,,0","20.36",",0","26.49",",,,0","14.24",",,,0","","","",""
"USC00368361","2003-09","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","6.4",",0","15",",0","13",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","8","","4","","3.9",",0,26,","0",",,0,30,+","0",",,0,30,+","32.5",",,0,27,","26.1",",0,12,","118.1","0","","","","","92.1",",0","","","","","","","","","","","","","","","","","","","","","190.5",",,,0","0",",,,0","15.48",",0","21.26",",,,0","9.69",",,,0","","","",""
"USC00368361","2003-10","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","0.0",",0","20",",0","10",",0","1",",0","0",",0","0",",0","0",",0","6",",0","0",",0","4",",0","0",",0","4","","3","","-1.7",",0,24,","0",",T,0,02,","0",",T,0,02,","57.7",",,0,15,","25.0",",0,10,","413.9","0","","","","","295.8",",0","","","","","","","","","","","","","","","","","","","","","137.9",",,,0","0",",T,,0","8.79",",0","14.33",",,,0","3.26",",,,0","","","",""
"USC00368361","2003-11","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","0.0",",0","15",",0","8",",0","1",",0","2",",0","2",",0","0",",0","10",",0","0",",0","4",",0","0",",0","7","","1","","-7.2",",0,10,","102",",,0,29,","89",",,0,29,","38.6",",,0,29,","25.0",",0,05,","747.9","0","","","","","334.0",",0","","","","","","","","","","","","","","","","","","","","","102.2",",,,0","119",",,,0","7.20",",0","11.86",",,,0","2.54",",,,0","","","",""
"USC00368361","2003-12","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","","","0.0",",0","21",",0","12",",0","0",",0","22",",0","12",",0","0",",0","26",",0","12",",0","0",",0","0",",0","","","","","-11.1",",0,14,","305",",,0,20,","203",",,0,18,","17.3",",,0,24,","12.8",",0,29,","1337.0","0","","","","","589.1",",0","","","","","","","","","","","","","","","","","","","","","93.0",",,,0","886",",,,0","-0.67",",0","2.56",",,,0","-3.90",",,,0","","","",""
"USC00368361","2004-01","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0","1,0","28",",0","13",",0","0",",0","27",",0","18",",0","5",",0","29",",0","23","1,0","0","1,0","0","1,0","2","","1","","-27.2",",0,25,","483",",,0,29,+","432",",,0,08,","12.7",",,0,05,","15.6","1,0,04,","2112.3","0","","","","","775.3","1,0","","","","","","","","","","","","","","","","","","","","","106.2",",,,0","1946",",,,0","-7.70","1,0","-3.26","1,,,0","-12.14",",,,0","","","",""
"USC00368361","2004-02","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","11",",0","4",",0","0",",0","29",",0","4",",0","4",",0","28",",0","11",",0","0",",0","0",",0","","","","","-23.9",",0,17,+","432",",,0,02,+","51",",,0,11,","5.8",",,0,21,","11.1",",0,21,","2791.1","0","","","","","678.8",",0","","","","","","","","","","","","","","","","","","","","","26.1",",,,0","165",",,,0","-5.07",",0","0.54",",,,0","-10.69",",,,0","","","",""
"USC00368361","2004-03","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0","1,0","21",",0","13",",0","0",",0","11","1,0","4",",0","0",",0","15",",0","3","1,0","2","1,0","0","1,0","6","","1","","-11.7",",0,18,","203","1,,0,17,","152",",,0,17,","18.0",",,0,21,","23.3","1,0,06,","3203.5","0","","","","","412.4","1,0","","","","","","","","","","","","","","","","","","","","","95.0",",,,0","387",",,,0","4.40","1,0","9.06","1,,,0","-0.27",",,,0","","","",""
"USC00368361","2004-04","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0","1,0","17",",0","10",",0","0",",0","3","4,0","2",",0","0","1,0","12","1,0","1",",0","6",",0","0",",0","4","","3","","-6.1","1,0,06,","51","4,,0,05,+","38",",,0,02,","22.9",",,0,02,","27.2",",0,19,","3531.7","0","","","","","328.2",",0","","","","","","","","","","","","","","","","","","","","","107.6",",,,0","84",",,,0","7.26","1,0","12.85",",,,0","1.68","1,,,0","","","",""
"USC00368361","2004-05","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","23.6","0","23.6","1,0","21",",0","14",",0","3",",0","0",",0","0",",0","0","1,0","2","1,0","0",",0","21",",0","0",",0","10","","11","","-2.2","1,0,04,","0",",,0,31,+","0",",,0,31,+","45.7",",,0,21,","29.4",",0,14,","3645.8","0","","","","","114.1",",0","","","","","","","","","","","","","","","","","","","","","205.9",",,,0","0",",,,0","15.41","1,0","21.81",",,,0","9.00","1,,,0","","","",""
"USC00368361","2004-06","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","68.7","0","45.1","1,0","18",",0","11",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","23",",0","0",",0","11","","7","","3.9","1,0,04,","0",",,0,30,+","0",",,0,30,+","24.6",",,0,11,","30.6",",0,10,","3693.3","0","","","","","47.5",",0","","","","","","","","","","","","","","","","","","","","","91.4",",,,0","0",",,,0","18.25","1,0","24.04",",,,0","12.47","1,,,0","","","",""
"USC00368361","2004-07","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","118.4","0","49.7","2,0","15",",0","9",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","28",",0","0",",0","9","","6","","9.4","2,0,24,","0",",,0,31,+","0",",,0,31,+","35.1",",,0,31,","30.6",",0,05,","12.3","0","","","","","12.3",",0","","","","","","","","","","","","","","","","","","","","","109.9",",,,0","0",",,,0","19.74","2,0","25.04",",,,0","14.43","2,,,0","","","",""
"USC00368361","2004-08","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","163.7","0","45.3",",0","15",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","12","","3","","6.1",",0,22,","0",",,0,31,+","0",",,0,31,+","31.2",",,0,29,","29.4",",0,28,+","57.3","0","","","","","45.0",",0","","","","","","","","","","","","","","","","","","","","","122.1",",,,0","0",",,,0","18.34",",0","24.00",",,,0","12.69",",,,0","","","",""
"USC00368361","2004-09","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","189.6","0","25.9",",0","7",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","15","","5","","3.9",",0,19,","0",",,0,30,+","0",",,0,30,+","101.6",",,0,09,","28.3",",0,05,","117.1","0","","","","","59.8",",0","","","","","","","","","","","","","","","","","","","","","196.6",",,,0","0",",,,0","17.20",",0","22.93",",,,0","11.48",",,,0","","","",""
"USC00368361","2004-10","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","189.6","0","0.0",",0","17",",0","7",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","4",",0","0",",0","4","","2","","-0.6",",0,13,+","0",",,0,31,+","0",",,0,31,+","19.3",",,0,19,","23.3",",0,08,","358.2","0","","","","","241.1",",0","","","","","","","","","","","","","","","","","","","","","83.6",",,,0","0",",,,0","10.55",",0","16.15",",,,0","4.96",",,,0","","","",""
"USC00368361","2004-11","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","189.6","0","0.0",",0","15",",0","7",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","0",",0","0",",0","8","","","","-6.7",",0,15,+","0",",T,0,25,+","0",",T,0,25,+","22.1",",,0,25,","16.7",",0,03,","736.8","0","","","","","378.6",",0","","","","","","","","","","","","","","","","","","","","","85.4",",,,0","0",",T,,0","5.71",",0","10.17",",,,0","1.25",",,,0","","","",""
"USC00368361","2004-12","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","189.6","0","0.0","2,0","22",",0","11",",0","1",",0","19","1,0","9",",0","4","1,0","23","1,0","9","1,0","0","1,0","0","1,0","4","","","","-21.1","1,0,28,","432","1,,0,14,","432",",,0,14,","47.2",",,0,23,","15.6","1,0,08,","1324.0","0","","","","","587.2","1,0","","","","","","","","","","","","","","","","","","","","","147.2",",,,0","1044",",,,0","-1.92","2,0","2.28","1,,,0","-6.13","1,,,0","","","",""
